2023-05-09 16:17:16,864 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.75, 'bs': 0.00364, 'ap': 27731.37, 'as': 0.19, 't': Timestamp(seconds=1683667036, nanoseconds=919888689)}
2023-05-09 16:17:16,873 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.75, 'bs': 0.00364, 'ap': 27731.37, 'as': 0.38, 't': Timestamp(seconds=1683667036, nanoseconds=929801927)}
2023-05-09 16:17:20,845 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.75, 'bs': 0.00364, 'ap': 27731.37, 'as': 0.19, 't': Timestamp(seconds=1683667040, nanoseconds=870236798)}
2023-05-09 16:17:21,923 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27731.37, 'as': 0.19, 't': Timestamp(seconds=1683667041, nanoseconds=929722522)}
2023-05-09 16:17:21,923 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27724.75, 's': 0.00364, 't': Timestamp(seconds=1683667041, nanoseconds=921000000), 'i': 16586143, 'tks': 'S'}
2023-05-09 16:17:21,923 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27720.91, 's': 0.01049, 't': Timestamp(seconds=1683667041, nanoseconds=921000000), 'i': 16586144, 'tks': 'S'}
2023-05-09 16:17:21,923 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27720.0, 's': 0.02837, 't': Timestamp(seconds=1683667041, nanoseconds=921000000), 'i': 16586145, 'tks': 'S'}
2023-05-09 16:17:21,923 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27731.37, 'as': 0.38, 't': Timestamp(seconds=1683667041, nanoseconds=935039300)}
2023-05-09 16:17:21,924 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27731.36, 'as': 0.03184, 't': Timestamp(seconds=1683667041, nanoseconds=942107426)}
2023-05-09 16:17:22,843 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27731.36, 'as': 0.03171, 't': Timestamp(seconds=1683667042, nanoseconds=781915298)}
2023-05-09 16:17:22,843 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27731.36, 's': 0.00013, 't': Timestamp(seconds=1683667042, nanoseconds=776000000), 'i': 16586146, 'tks': 'B'}
