2023-05-09 16:17:16,017 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.29, 'bs': 0.8, 'ap': 1854.6, 'as': 0.8, 't': Timestamp(seconds=1683667036, nanoseconds=72955667)}
2023-05-09 16:17:16,051 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.29, 'bs': 0.8, 'ap': 1854.6, 'as': 2.65, 't': Timestamp(seconds=1683667036, nanoseconds=107856628)}
2023-05-09 16:17:16,057 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.29, 'bs': 0.8, 'ap': 1854.6, 'as': 1.85, 't': Timestamp(seconds=1683667036, nanoseconds=112820720)}
2023-05-09 16:17:16,057 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.29, 'bs': 0.8, 'ap': 1854.59, 'as': 0.8, 't': Timestamp(seconds=1683667036, nanoseconds=112883367)}
2023-05-09 16:17:16,451 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.0809, 'ap': 1854.59, 'as': 0.8, 't': Timestamp(seconds=1683667036, nanoseconds=440346171)}
2023-05-09 16:17:16,452 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.59, 'as': 0.8, 't': Timestamp(seconds=1683667036, nanoseconds=445179801)}
2023-05-09 16:17:16,845 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.55, 'as': 1.85, 't': Timestamp(seconds=1683667036, nanoseconds=901873320)}
2023-05-09 16:17:17,012 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.0809, 'ap': 1854.55, 'as': 1.85, 't': Timestamp(seconds=1683667037, nanoseconds=68568239)}
2023-05-09 16:17:17,988 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.0809, 'ap': 1854.54, 'as': 0.8, 't': Timestamp(seconds=1683667038, nanoseconds=11904660)}
2023-05-09 16:17:17,989 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.54, 'as': 0.8, 't': Timestamp(seconds=1683667038, nanoseconds=14813162)}
2023-05-09 16:17:17,989 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.27, 'as': 0.5392, 't': Timestamp(seconds=1683667038, nanoseconds=16883750)}
2023-05-09 16:17:17,989 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.27, 'as': 1.3392, 't': Timestamp(seconds=1683667038, nanoseconds=22416279)}
2023-05-09 16:17:17,990 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.27, 'as': 0.5392, 't': Timestamp(seconds=1683667038, nanoseconds=26911548)}
2023-05-09 16:17:17,991 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.26, 'as': 0.8, 't': Timestamp(seconds=1683667038, nanoseconds=28312377)}
2023-05-09 16:17:17,991 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.27, 'as': 0.5392, 't': Timestamp(seconds=1683667038, nanoseconds=32049296)}
2023-05-09 16:17:17,991 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.27, 'as': 1.3392, 't': Timestamp(seconds=1683667038, nanoseconds=33373282)}
2023-05-09 16:17:18,231 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.8809, 'ap': 1854.27, 'as': 1.3381, 't': Timestamp(seconds=1683667038, nanoseconds=286863538)}
2023-05-09 16:17:18,231 - INFO - trade {'T': 't', 'S': 'ETH/USD', 'p': 1854.27, 's': 0.0011, 't': Timestamp(seconds=1683667038, nanoseconds=281000000), 'i': 7466851, 'tks': 'B'}
2023-05-09 16:17:19,102 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.6709, 'ap': 1854.27, 'as': 1.3381, 't': Timestamp(seconds=1683667039, nanoseconds=157895194)}
2023-05-09 16:17:19,103 - INFO - trade {'T': 't', 'S': 'ETH/USD', 'p': 1854.1, 's': 0.21, 't': Timestamp(seconds=1683667039, nanoseconds=152000000), 'i': 7466852, 'tks': 'S'}
2023-05-09 16:17:19,107 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.6709, 'ap': 1854.27, 'as': 0.5381, 't': Timestamp(seconds=1683667039, nanoseconds=162753827)}
2023-05-09 16:17:19,107 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.6709, 'ap': 1854.26, 'as': 0.8, 't': Timestamp(seconds=1683667039, nanoseconds=162825558)}
2023-05-09 16:17:19,112 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.6709, 'ap': 1854.27, 'as': 0.5381, 't': Timestamp(seconds=1683667039, nanoseconds=167779138)}
2023-05-09 16:17:19,113 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.6709, 'ap': 1854.27, 'as': 1.3381, 't': Timestamp(seconds=1683667039, nanoseconds=169032385)}
2023-05-09 16:17:19,156 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.1, 'bs': 0.6709, 'ap': 1854.27, 'as': 1.3155, 't': Timestamp(seconds=1683667039, nanoseconds=212581636)}
2023-05-09 16:17:19,157 - INFO - trade {'T': 't', 'S': 'ETH/USD', 'p': 1854.27, 's': 0.0226, 't': Timestamp(seconds=1683667039, nanoseconds=206000000), 'i': 7466853, 'tks': 'B'}
2023-05-09 16:17:19,251 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.08, 'bs': 0.0245, 'ap': 1854.27, 'as': 1.3155, 't': Timestamp(seconds=1683667039, nanoseconds=307116159)}
2023-05-09 16:17:19,302 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.08, 'bs': 0.0245, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667039, nanoseconds=357768038)}
2023-05-09 16:17:19,307 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.08, 'bs': 0.0245, 'ap': 1854.27, 'as': 1.3155, 't': Timestamp(seconds=1683667039, nanoseconds=362679873)}
2023-05-09 16:17:19,312 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.08, 'bs': 0.0245, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667039, nanoseconds=367918545)}
2023-05-09 16:17:19,312 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.08, 'bs': 0.0245, 'ap': 1854.27, 'as': 1.3155, 't': Timestamp(seconds=1683667039, nanoseconds=367979556)}
2023-05-09 16:17:19,596 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1854.08, 'bs': 0.0245, 'ap': 1854.16, 'as': 1.85, 't': Timestamp(seconds=1683667039, nanoseconds=651755915)}
2023-05-09 16:17:19,598 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.0086, 'ap': 1854.16, 'as': 1.85, 't': Timestamp(seconds=1683667039, nanoseconds=654356454)}
2023-05-09 16:17:19,599 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.0086, 'ap': 1854.25, 'as': 1.85, 't': Timestamp(seconds=1683667039, nanoseconds=654401857)}
2023-05-09 16:17:19,599 - INFO - trade {'T': 't', 'S': 'ETH/USD', 'p': 1854.08, 's': 0.0245, 't': Timestamp(seconds=1683667039, nanoseconds=648000000), 'i': 7466854, 'tks': 'S'}
2023-05-09 16:17:19,604 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.0086, 'ap': 1854.14, 'as': 1.85, 't': Timestamp(seconds=1683667039, nanoseconds=659733494)}
2023-05-09 16:17:19,604 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.0086, 'ap': 1854.25, 'as': 1.85, 't': Timestamp(seconds=1683667039, nanoseconds=659821106)}
2023-05-09 16:17:20,021 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.25, 'as': 1.85, 't': Timestamp(seconds=1683667040, nanoseconds=34841711)}
2023-05-09 16:17:20,021 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.24, 'as': 0.8, 't': Timestamp(seconds=1683667040, nanoseconds=34971706)}
2023-05-09 16:17:20,021 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667040, nanoseconds=70417171)}
2023-05-09 16:17:20,021 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.24, 'as': 0.8, 't': Timestamp(seconds=1683667040, nanoseconds=74571404)}
2023-05-09 16:17:20,021 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.27, 'as': 0.5155, 't': Timestamp(seconds=1683667040, nanoseconds=75602180)}
2023-05-09 16:17:20,024 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.16, 'as': 0.8, 't': Timestamp(seconds=1683667040, nanoseconds=80591087)}
2023-05-09 16:17:20,201 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667040, nanoseconds=81099182)}
2023-05-09 16:17:20,201 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.27, 'as': 1.3155, 't': Timestamp(seconds=1683667040, nanoseconds=85618202)}
2023-05-09 16:17:20,202 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667040, nanoseconds=90479825)}
2023-05-09 16:17:20,202 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.27, 'as': 1.3155, 't': Timestamp(seconds=1683667040, nanoseconds=90497209)}
2023-05-09 16:17:20,202 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667040, nanoseconds=182775657)}
2023-05-09 16:17:20,202 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.27, 'as': 1.3155, 't': Timestamp(seconds=1683667040, nanoseconds=193498714)}
2023-05-09 16:17:20,202 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667040, nanoseconds=214812689)}
2023-05-09 16:17:22,063 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.16, 'as': 0.8, 't': Timestamp(seconds=1683667042, nanoseconds=84462779)}
2023-05-09 16:17:23,116 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.16, 'as': 0.7989, 't': Timestamp(seconds=1683667043, nanoseconds=153341516)}
2023-05-09 16:17:23,116 - INFO - trade {'T': 't', 'S': 'ETH/USD', 'p': 1854.16, 's': 0.0011, 't': Timestamp(seconds=1683667043, nanoseconds=148000000), 'i': 7466855, 'tks': 'B'}
2023-05-09 16:17:23,474 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.07, 'as': 0.5392, 't': Timestamp(seconds=1683667043, nanoseconds=530811504)}
2023-05-09 16:17:23,825 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667043, nanoseconds=805486157)}
2023-05-09 16:17:23,825 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.16, 'as': 0.8, 't': Timestamp(seconds=1683667043, nanoseconds=811305189)}
2023-05-09 16:17:23,825 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.15, 'as': 1.85, 't': Timestamp(seconds=1683667043, nanoseconds=821350654)}
2023-05-09 16:17:23,826 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 0.5392, 't': Timestamp(seconds=1683667043, nanoseconds=825820201)}
