symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2023-05-09 21:19:00+00:00,27734.43,27734.43,27724.87,27734.43,0.03278,9.0,27733.9525869433
BTC/USD,2023-05-09 21:20:00+00:00,27734.43,27747.39,27734.43,27747.39,0.2007,16.0,27736.3040393622
BTC/USD,2023-05-10 06:19:00+00:00,27687.54,27687.54,27670.11,27671.82,0.18202,14.0,27679.2970041754
BTC/USD,2023-05-10 06:20:00+00:00,27679.74,27683.9,27671.75,27671.75,0.06078,6.0,27673.82656795
BTC/USD,2023-05-10 06:21:00+00:00,27682.32,27687.54,27671.7468,27678.16,0.073259919,14.0,27678.5530435614
BTC/USD,2023-05-10 06:22:00+00:00,27678.17,27687.54,27676.62,27679.96,0.10859,24.0,27678.7119430887
BTC/USD,2023-05-10 06:23:00+00:00,27687.54,27693.94,27675.52,27675.52,0.10066,12.0,27683.6146522949
BTC/USD,2023-05-10 06:24:00+00:00,27683.25,27685.14,27670.12,27672.78,0.12635,19.0,27676.3212275425
BTC/USD,2023-05-10 06:25:00+00:00,27671.57,27684.68,27671.56,27679.11,0.20066,19.0,27677.5272401076
BTC/USD,2023-05-10 06:26:00+00:00,27683.27,27683.27,27664.75,27666.76,0.10713,20.0,27668.7481704471
BTC/USD,2023-05-10 06:27:00+00:00,27670.92,27670.92,27661.05,27661.05,0.2974,17.0,27665.5926079354
BTC/USD,2023-05-10 06:28:00+00:00,27661.74,27668.94,27653.83,27658.61,6.49537,38.0,27654.185858881
BTC/USD,2023-05-10 06:29:00+00:00,27666.34,27670.93,27658.85,27670.93,0.41815,19.0,27661.2314975487
BTC/USD,2023-05-10 06:30:00+00:00,27666.78,27672.28,27662.92,27662.92,0.10295,7.0,27664.3390607091
BTC/USD,2023-05-10 06:31:00+00:00,27675.51,27676.37,27662.61,27666.76,0.12882,12.0,27667.6356963204
BTC/USD,2023-05-10 06:32:00+00:00,27670.02,27682.65,27667.19,27667.28,0.1609,18.0,27670.7504077067
BTC/USD,2023-05-10 06:33:00+00:00,27678.62,27683.29,27667.35,27683.29,0.26785,23.0,27678.7230550681
BTC/USD,2023-05-10 06:34:00+00:00,27686.45,27705.83,27686.45,27694.54,1.62542,81.0,27692.39005051
BTC/USD,2023-05-10 06:35:00+00:00,27693.16,27697.51,27680.45,27680.45,0.24232,22.0,27689.8003945196
BTC/USD,2023-05-10 06:36:00+00:00,27680.44,27680.44,27680.43,27680.43,0.05957,3.0,27680.4362766493
BTC/USD,2023-05-10 06:37:00+00:00,27679.14,27684.5,27675.0,27675.0,0.32534,14.0,27675.8854871826
BTC/USD,2023-05-10 06:38:00+00:00,27678.59,27683.88,27669.09,27669.09,0.68222,13.0,27674.8619083287
BTC/USD,2023-05-10 06:39:00+00:00,27666.78,27673.45,27662.62,27662.62,0.30338,10.0,27665.3353002835
BTC/USD,2023-05-10 06:40:00+00:00,27662.61,27670.75,27654.73,27659.03,0.06899,11.0,27661.7864415133
BTC/USD,2023-05-10 06:41:00+00:00,27654.71,27675.65,27654.71,27667.35,0.16608,22.0,27663.8714806118
BTC/USD,2023-05-10 06:42:00+00:00,27675.65,27679.24,27668.84,27671.49,0.09921,17.0,27678.1493377684
BTC/USD,2023-05-10 06:43:00+00:00,27671.49,27671.49,27671.49,27671.49,0.00514,1.0,27671.49
BTC/USD,2023-05-10 06:44:00+00:00,27677.8,27679.82,27675.65,27675.65,0.08884,6.0,27678.4946499325
BTC/USD,2023-05-10 06:45:00+00:00,27675.65,27678.45,27673.58,27677.94,0.03628,6.0,27677.2658186329
BTC/USD,2023-05-10 06:46:00+00:00,27680.58,27683.19,27664.58,27676.43,0.86522,23.0,27669.6389858071
BTC/USD,2023-05-10 06:47:00+00:00,27674.17,27674.17,27646.8,27656.73,2.87672,93.0,27655.5103720904
BTC/USD,2023-05-10 06:48:00+00:00,27665.26,27665.26,27652.24,27655.99,0.01932,7.0,27654.5737991718
BTC/USD,2023-05-10 06:49:00+00:00,27656.41,27659.23,27648.25,27650.78,0.06017,11.0,27657.4203224198
BTC/USD,2023-05-10 06:50:00+00:00,27660.29,27660.29,27636.02,27647.95,0.92205,44.0,27638.8841890353
BTC/USD,2023-05-10 06:51:00+00:00,27646.74,27648.55,27635.89,27637.69,0.10898,27.0,27642.5567728023
BTC/USD,2023-05-10 06:52:00+00:00,27637.69,27660.29,27635.0,27660.29,0.09082,18.0,27646.9684408721
BTC/USD,2023-05-10 06:53:00+00:00,27664.69,27664.71,27648.5,27660.54,1.02035,21.0,27654.0881622973
BTC/USD,2023-05-10 06:54:00+00:00,27653.93,27663.3,27653.93,27663.3,0.1179,3.0,27655.5194826124
BTC/USD,2023-05-10 06:55:00+00:00,27658.3,27662.58,27652.24,27662.58,0.3307,16.0,27654.5922893862
BTC/USD,2023-05-10 06:56:00+00:00,27660.54,27680.04,27660.54,27680.04,0.18903,26.0,27671.8088927683
BTC/USD,2023-05-10 06:57:00+00:00,27680.03,27680.03,27660.58,27664.68,0.22237,16.0,27668.5974434501
BTC/USD,2023-05-10 06:58:00+00:00,27666.31,27681.58,27662.05,27681.58,0.19988,19.0,27668.9594961977
BTC/USD,2023-05-10 07:00:00+00:00,27674.87,27674.87,27650.72,27650.72,0.85575,48.0,27659.7689387087
BTC/USD,2023-05-10 07:01:00+00:00,27654.99,27664.28,27643.39,27658.42,0.35755,43.0,27653.7280791498
