symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-05-09 21:19:00+00:00,1853.57,1853.93,1853.55,1853.55,1.2559,6.0,1853.5785261565
ETH/USD,2023-05-09 21:20:00+00:00,1854.2,1854.38,1854.2,1854.38,0.5595,2.0,1854.3735656836
ETH/USD,2023-05-10 06:20:00+00:00,1844.35,1845.1,1844.35,1844.59,1.8649,9.0,1844.7129695962
ETH/USD,2023-05-10 06:21:00+00:00,1844.65,1845.33,1844.65,1844.69,0.4081,4.0,1844.7705758393
ETH/USD,2023-05-10 06:22:00+00:00,1844.8,1844.8,1844.29,1844.29,1.122,7.0,1844.7299090909
ETH/USD,2023-05-10 06:23:00+00:00,1844.58,1845.32,1844.38,1844.81,0.4382,6.0,1844.5490597901
ETH/USD,2023-05-10 06:24:00+00:00,1844.11,1844.64,1844.02,1844.02,0.6438,6.0,1844.379082013
ETH/USD,2023-05-10 06:25:00+00:00,1844.28,1844.28,1844.13,1844.13,0.3123,3.0,1844.2496926033
ETH/USD,2023-05-10 06:26:00+00:00,1844.1,1844.1,1842.93,1842.93,1.0516,5.0,1843.585041841
ETH/USD,2023-05-10 06:27:00+00:00,1843.04,1843.54,1843.04,1843.54,1.0843,4.0,1843.4745208891
ETH/USD,2023-05-10 06:28:00+00:00,1843.12,1843.12,1842.73,1842.73,0.302,3.0,1842.9359768212
ETH/USD,2023-05-10 06:29:00+00:00,1842.8,1842.99,1842.76,1842.99,0.5348,4.0,1842.8400804039
ETH/USD,2023-05-10 06:30:00+00:00,1842.99,1842.99,1842.66,1842.66,0.3936,4.0,1842.8972103659
ETH/USD,2023-05-10 06:31:00+00:00,1842.7,1843.34,1842.63,1842.67,0.4315,6.0,1842.6713117034
ETH/USD,2023-05-10 06:32:00+00:00,1842.97,1843.31,1842.97,1843.3,0.6206,6.0,1843.2675523687
ETH/USD,2023-05-10 06:33:00+00:00,1843.43,1844.21,1843.28,1843.81,0.7191,9.0,1843.8616006119
ETH/USD,2023-05-10 06:34:00+00:00,1843.98,1845.45,1843.98,1845.43,3.3158,14.0,1844.9985653538
ETH/USD,2023-05-10 06:35:00+00:00,1845.35,1845.35,1844.98,1844.98,0.682,5.0,1845.087255132
ETH/USD,2023-05-10 06:36:00+00:00,1844.4,1844.47,1844.38,1844.47,0.2631,4.0,1844.4206765488
ETH/USD,2023-05-10 06:37:00+00:00,1844.47,1844.48,1844.47,1844.47,3.2098,5.0,1844.4701869275
ETH/USD,2023-05-10 06:38:00+00:00,1844.63,1845.11,1844.47,1844.47,0.2679,5.0,1844.6457670773
